Name,Order,Suborder,Superfamily,Family,Genus,Species,Identification,Size,Length,Abdomen,Hindwing,Similar Species,Habitat,Discussion,Distribution
Black-shouldered Spinyleg,Odonata,Anisoptera,Gomphioidea,Gomphidae,Dromogomphus,spinosus,"Black-shouldered Spinyleg is distinctive from the other spinylegs in the region in having the antehumeral and humeral stripes fused for nearly their entire length. At most there is a thin pale green stripe between the two. The face is greenish and usually unmarked, but some individuals may have a dark cross-stripe. The top of the frons is green and the vertex is black, with a pair of distinct black spines, in the female. The midlateral stripe is generally reduced to a short stalk at its lower end. The third lateral stripe is reduced to thin line on the suture. The legs are black and the wings have a dark costa. The abdomen is mostly black with an interrupted greenish middorsal stripe. Segments 7-9 are dark brown to black and expanded laterally. The caudal appendages are black.",Total length: 54-67 mm; abdomen: 42-45 mm; hindwing: 34-36 mm.,54-67 mm,42-45 mm,34-36 mm.,This is the only spinyleg and clubtail that has a broad dark shoulder stripe formed from the fusion of the dark antehumeral and humeral stripes.,Small to large streams and oxbows with slow to rapid flow and sandy or muddy bottoms.,"This species has a distinctive egg laying behavior. Females fly quickly over the water, tapping the abdomen at regular intervals, depositing eggs. Pairs may stay in copula for some time high in trees. I have seen this species abundant, perched on the ground and bridge guardrails near streams. One study documented the invasion of this species into a Tennessee lake that resulted in a dietary shift in coexisting larval baskettails (Epitheca).",Throughout eastern U.S. and southeastern Canada.
Flag-tailed Spinyleg,Odonata,Anisoptera,Gomphioidea,Gomphidae,Dromogomphus,spoliatus,"This species is lighter in color than Black-shouldered Spinyleg (D. spinosus), and is similar to Southeastern Spinyleg (D. armatus), with distinct dark antehumeral and humeral stripes. The face is yellow and never marked with a black cross-stripe. The vertex is dark brown and the females lack spines. The thorax is yellowish-green. The middorsal thoracic stripe parallels the anterior collar so that it nearly contacts the antehumeral stripe at its lower end. The dark antehumeral and humeral stripes are separated by a pale yellowish-green stripe of equal or greater width. The midlateral stripe is more developed than in Black-shouldered Spinyleg (D. spinosus), but does not reach far beyond the spiracle. The third lateral stripe is hardly wider than the suture itself. The wings each have a yellow costa. The abdomen is brownish-green with an interrupted dark dorsolateral stripe on segments 3-6. Segments 7-9 are orange brown and expanded greatly in males, more so than in other spinyleg species.",Total length: 60-61 mm; abdomen: 43-46 mm; hindwing: 35-38 mm.,60-61 mm,43-46 mm,35-38 mm.,"Southeastern Spinyleg (D. armatus) is much less common, larger and generally has darker markings. It also lacks the pale rings on the abdomen seen in Flag-tailed Spinyleg. Other clubtail species can be distinguished by their shorter legs which lack prominent spines.","Small, clear sandy or mud bottomed streams with a regular current.","Mauffray (1997) reported that the six Louisiana parish records, cited in Bick (1957), were based on larval identifications and may be invalid. Those parishes (Bossier, East Feliciana, Saint Tammany, Tangipahoa, Washington and Webster) have therefore not been included in the distribution of this species. Flag-tailed Spinyleg can be common in the region. They may often be seen perching along the shore or occasionally on vegetation. They regularly patrol over the water where they may hover for extended periods similar to species of ringtails (Erpetogomphus).","Southeastern U.S. and Canada, southwestward into Mexico."
Checkered Setwing,Odonata,Anisoptera,Libelluloidea,Libellulidae,Dythemis,fugax,"This is a primarily south-central United States species that is easily recognized by its dark color and the large basal brown spots that extend out to not quite a forth the length of the wings. It is the only dark setwing in the region, with a broad dark basal spot in both pair of wings. The face is olivaceous in young males and females and bright red in older males. The brown middorsal
 and antehumeral stripes are broadly confluent above, exposing only a small isolated pale area. The side of the thorax is bluish-gray or olivaceous with four brown diffuse lateral stripes. The legs are black and the wings are as above with a smaller spot of brown at the nodus and generally with dark wingtips. The abdomen is bluish-gray to yellow basally and dark brown to black for most of length. There are pale spots laterally on segments 4-9 and middorsally on 4-7 that become large and most conspicuous on 7 giving it a distinctive checkered pattern. The remaining segments and caudal appendages are dark brown or black.",Total length: 42-51 mm; abdomen: 30-35 mm; hindwing: 35-40 mm.,42-51 mm,30-35 mm,35-40 mm.,"No other setwing in the region has broad basal markings in both wings and a checkered abdomen. Marl Pennant (Macrodiplax balteata
) does not have the characteristic checkered pattern on the abdomen and lacks a dark spot in the basal portion of the forewing.",Ponds and lakes with emergent vegetation.,"This species may be abundant, perching on tall vegetation surrounding ponds and lakes or in open fields away from water. Males perch at the tips of vegetation and along fence lines with both pairs of wings depressed downward. When disturbed they usually don't fly far, returning quickly to their perch. It was only recently reported in Arkansas for the first time.",South-central U.S.
Black Setwing,Odonata,Anisoptera,Libelluloidea,Libellulidae,Dythemis,nigrescens,"This is a dark Mexican species similar to Swift Setwing (D. velox). It is found in the southwestern part of the region. The top of the frons is metallic purple and older individuals become entirely pruinose dark blue. The face and thorax of tenerals and females are olivaceous. There is a broad, dark middorsal stripe on the thorax that covers nearly the entire front of the thorax. Diffuse lateral stripes form a HII or HIY pattern on the side of the thorax. The entire thorax becomes obscured by a dark blue pruinosity in older individuals. The wings are clear with at most a slight spot of dark brown at the extreme base of both wings and generally at the extreme tips. The wings become amber throughout with age. Generally there are 4
rows of cells between vein A2 and the hindwing margin. The legs are brown basally, becoming black on the tarsi and tibiae. The abdomen in the male is slender beyond the swollen, pale basal segments. There are paired, pale, middorsal spots on segments 4-7, with those on 7 conspicuously enlarged. The remaining segments and caudal appendages are dark.",Total length: 42-50 mm; abdomen: 26-32 mm; hindwing: 31-34 mm.,42-50 mm,26-32 mm,31-34 mm.,"The vertex in Swift Setwing is not metallic and there are no pale lateral spots on segments 4-7. The lateral thoracic stripes appear as YIY. Marl Pennant (Macrodiplax balteata
) is more robust with a distinct dark basal spot in the hindwing. Slaty Skimmer (Libellula incesta
) is much larger.","Creeks, streams and rivers with moderate current.","Individuals perch atop twigs near the water, but generally in open areas. Exhibits similar behavior to Swift Setwing.","Arizona, New Mexico and Texas south through Mexico."
Swift Setwing,Odonata,Anisoptera,Libelluloidea,Libellulidae,Dythemis,velox,"This is a clear-winged species similar to Black Setwing (D. nigrescens), but the top of the frons is dull and never metallic. Its face is olivaceous in tenerals and females and dark brown in older males. The lateral thoracic pattern of dark stripes is YIY. This pattern is nearly always visible as older males generally lack heavy pruinescence. The wingtips are dark and usually have 3 rows of cells between vein A2 and the hindwing margin. The wings become amber in older individuals and have a spot of brown at the extreme base
 in both wings. The legs are black. The abdomen has pale yellow-greenish dorsolateral spots on segments 3-7 that become most conspicuous on segment 7 and sometimes are lacking on 5-6.",Total length: 42-50 mm; abdomen: 25-32 mm; hindwing: 30-36 mm.,42-50 mm,25-32 mm,30-36 mm.,"This species is closest to Black Setwing, but Swift Setwing has a YIY lateral thoracic pattern, not HII or HIY. It also has darker wingtips and lacks a metallic vertex. See similar species listed under Black Setwing for details on separating this species from others.","Lakes, ponds and borrow pits as well as creeks, streams and rivers with moderate current.","This is the most widespread of the North American setwings and it is apparently continuing to expand its range. Bick (1957
) didn't find it in Louisiana, but Mauffray (1997), 40 years later, reported that it was common in the northern part of the state, west of Baton Rouge. It is often found along ponds, borrow pits, streams, creeks and rivers where it perches high on tall grasses and weeds with the wings depressed downward and the abdomen held above the rest of the body, sometimes considerably so. Males patrol small areas along the stream and creek edges where they may be flighty.","Southern U.S. from Florida to Arizona, Mexico and Cuba."
Azure Bluet,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Enallagma,aspersum,"The front of the head in the male is blue with a distinct black line above the clypeus. The top of the head is black except for thin pale occipital bar that is only narrowly separated from a pair of large blue, oval postocular spots. The pronotum is black dorsally with a pair of medial blue spots. The middorsal carina and stripe of the pterothorax are black with the latter approximately half the width of the mesepisterna.
 The blue antehumeral stripe extends no more than half the width of the middorsal stripe. The black humeral stripe narrows posteriorly, often expanding anteriorly to the mesepimeron, but generally remaining narrower than the antehumeral stripe. The rest of the pterothorax is pale blue, fading ventrally. The legs are pale with dark stripes laterally and the tarsi are typically black with pale tarsal claws. The abdomen is blue above, fading laterally and ventrally. Segment 1 is black in the basal 1/2 of the segment dorsally and there is a black spot on the apical 2/5 of segment 2 that is confluent with the apical ring. There is a narrow, dorsal black stripe that starts basally on segment 3 and extends the full-length of the segment widening distally. The entire dorsum of segments 4-6 is black except for a pale basal ring. Segment 7 is black on the basal forth of the segment and blue apically and laterally. Segments 8 and 9 are entirely blue. Segment 10 bears a wide dorsal black stripe th
at narrows apically. The carci are dark and distinctly bifurcated when viewed laterally. The upper arm is much longer and more pronounced than the lower. The dark paraprocts curve dorsally to reach the lower arm of the appendages above. The head and thorax of the female are similar to the male but with the pale blue colors generally replaced by green. The postocular spots are significantly smaller than in the male. There are a pair of kidney-shaped pits on the posterior 1/3 of the pronotum. The mesostigmal plates have a distinct posterior border. The abdomen is generally paler than in the male and especially ventrolaterally. Segments 1 and 3-6 are generally similar to the male. Segment 7 is nearly all black with an apical blue ring. Segment 8 is black with narrow pale apical ring and a pair of pronounced blue spots on the basal 1/3 to 1/2 of the segment. Segments 9-10 are black dorsally with only a pale blue apical margin.",Total length: 27-34 mm; abdomen: 21-27 mm; hindwing: 15-20.,27-34 mm,21-27 mm,15-20.,"Familiar (E. civile), Alkali (E. clausum), Atlantic (E. doubledayi
) and Boreal (E. boreale
) Bluets are all a paler blue dorsally than Azure Bluet. This species is restricted to the northeastern portion (eastern Oklahoma and northern Arkansas
) of our range. Skimming Bluet (E. geminatum
) has a black ventrolateral line on segments 8-10 and 10 is black laterally.",Fishless lakes and semipermanent ponds and bogs.,"In Texas this species has only been reported from from Collin, Dallas and Wise counties in the north central portion of the state. It is generally restricted to fishless ponds and lakes, but has been reported occurring along shallow grassy or boggy shorelines. Unpaired males seldom perch or maintain a territory prior to mating. One study found females move away from the water between noon and 1:00 pm each day, only to reappear in numbers between 1:30 and 2:30 P.M. Males will often seize egg laying females from the water. Sperm transfer generally occurs while in tandem and perching on vegetation, quickly followed by mating lasting an average of 14 minutes. Females most often lay eggs completely submerged and unaccompanied. Unlike most damselflies, female Azure Bluets do not begin laying eggs
above the water and back down, but rather she determines an appropriate stem and immediately proceeds down it, head first. The male separates upon contact with the water and perches nearby. One study reported a female submerge as low as 15 inches to lay eggs at the base of the plant, apparently as an adaptation to avoid summer drought. Egg laying generally lasts no more than 25 minutes. In Ontario, Canada, it was formerly restricted to bog-marginated lakes, but it seems to be expanding its habitat to include artificial ponds and calcareous and alkaline gravel pits.",Eastern U.S. and southern Canada from Georgia north to Quebec; west to Wisconsin and south to Texas.
Double-striped Bluet,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Enallagma,basidens,"The front of the male's head is blue with a broad black stripe. The top is large is largely black with a pale occipi
tal bar and small postoccipital spots. The middorsal thoracic carina is pale blue and bisects the broad black middorsal stripe that is approximately half the width of the mesepisternum. The humeral stripe is black and subequal in width to the antehumeral stripe, but narrowed basally, and divided for nearly its entire length by a thin pale blue line. The femora are pale blue or cream with dark stripe on their outer surface. The tibiae and tarsi are generally pale and lack dark markings. The abdomen is largely bright blue, becoming paler ventrally. The entire top of segment 1 is black except for a narrow blue apical band. A black stripe runs the entire length of segments 2 and 3 dorsally and extends laterally to the last quarter of each segment. There is a black hastate stripe on the apical 1/2-2/3 of segments 4-6 dorsally. The entire dorsum of segment 7 is black, except for pale basal and apical rings. Segments 8-9 are generally all blue and segment 10 has an irregular black stripe dors
ally. The cerci are black and extend for approximately half the length of segment 10. They are sharply truncate, when viewed laterally and have a distinct basal ventrally directed lower lobe. The paraprocts are pale becoming darker apically, curving upwards and extending slightly more than half the length of the cerci. The head and thorax of the female closely resemble the male, but with the pale colors more extensive. Females occur in three different color forms, with pale colors either blue, green or brown. Generally there are small pale spots anterior to each ocellus. The pale stripe dividing the humeral stripe is most often confluent anteriorly and posteriorly with the rest of the pterothorax. There is a distinct anterior high ridge towards the middle of each depressed mesostigmal plate and these plates have strong prominences at each posteromedial corner. The abdominal segments are similar to the male, but with the dorsum of segments 3-6 entirely black except for a narrow, basal p
ale ring. Segment 8 is black dorsally with only a narrow apical pale ring. Segment 9 is black dorsally with a large blue spot in the basal 1/3-2/3 of each segment that narrows and is distinctly emarginate apically. This spot is sometimes divided into two separate triangles. The top of segment 10 is entirely blue.",Total length: 21-28 mm; abdomen: 17-22 mm; hindwing: 10-15 mm.,21-28 mm,17-22 mm,10-15 mm.,"Double-striped Bluet is the smallest of our bluets. The thin pale stripe that longitudinally divides the dark humeral stripe (and gives the species its name
) is distinctive among all dancers (Argia
) and bluets in our area.","Various permanent and semipermanent ponds, lakes and reservoirs as well as slow reaches of streams and rivers.","Double-striped Bluet, originally described from Texas, has expanded its range westward and northward. This expansion is probably a result of extensive irrigation affording new suitable breeding localities. It has also expanded its range eastward this century, now reaching as far as Florida and the Carolinas, north to New York and Michigan. It was first reported from Canada in southwestern Ontario collections taken in 1985. Females are often only observed around water while in tandem. Egg laying occurs in tandem where floating masses of filamentous algae and other vegetation are preferred. Double-striped Bluet perches over water most often from 10:00am to 4:00pm.",Florida to Ontario west to Colorado and California; south to Texas and Mexico.
Familiar Bluet,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Enallagma,civile,"The front of the male's head is blue striped with a broad black bar. The top of the head is largely black except for two small pale postocular spots. The pronotum is largely black with patches of blue. The middorsal carina is nearly always black bordered by a wide middorsal stripe half the width of the mesepisterna. The antehumeral stripe is blue and no more than half the width of the middorsal stripe. The dark humeral stripe widens anteriorly and generally is only 2/3 as wide as the antehumeral stripe at that point. The rest of the thorax is pale to bright blue fading ventrally. The legs are pale with broad black stripes on their outer surfaces, but the distal portio
ns of the tibiae and all the tarsi lack black stripes. The abdomen is bright blue dorsally marked with black, becoming pale ventrolaterally. Segment 1 is entirely blue except for the basal 1/3 to 1/2 which is black dorsally. A large, irregular black spot occupies the apical half of segment 2 dorsally and is confluent with an apical ring. A similar spot on segments 3-5 extends dorsally for as much as half the length of the segment. There is a dorsal stripe that extend 1/2 to 3/4 or more the length of segments 6-7. Segments 8-9 are entirely blue and segment 10 is black dorsally. The cerci are uniformly black with a pale distal tubercle extending beyond the lower arm of the appendage but that is clearly encompassed by the upper arm when viewed laterally. The cerci are approximately 3/4 the length of segment 10. The paraprocts are pale with dark tips that curve slightly upward. Females may be either blue or tan. The head and thorax are similarly marked to the male. The middorsal carina may
 have a full-length hairline stripe. The legs are like those of the male. The middorsal lobe of the pronotum lacks any distinct pits. The mesostigmal plates are divergent anteriorly with the anterolateral corners elevated. The abdomen is generally marked with more black than in the male. Segment 1 is almost entirely black dorsally with pale apical rings. There is a broad full-length black stripe dorsally on segment 2. Segments 3-6 each have a hastate black stripe running their entire length, or nearly so. Segment 7 is generally all black dorsally with only a pale apical and sometimes basal ring. A full-length black stripe runs from segments 8-10 dorsally. This stripe is occasionally constricted basally on segment 8 and apically on segments 9-10.",Total length: 29-39 mm; abdomen: 22-34 mm; hindwing: 16-21 mm.,29-39 mm,22-34 mm,16-21 mm.,"Segment 7 in male Azure (E. aspersum
) and Northern (E. cyathigerum
) Bluets is all, or nealy so, black. Atlantic Bluet (E. doubledayi
) is very similar and careful examination of the male caudal appendages and female mesostigmal plates will be required for accurate identification. Male Familiar Bluets are one of two species in our region with a distal tubercle on the cerci. The other, Tule Bluet (E. carunculatum
) has a tubercle that protrudes beyond the end of the cerci. This is our most widely distributed bluet, but it is often found flying with other species, so look carefully at populations of little blue damselflies.","Ephemeral or permanent ponds and lakes. Also slow flowing streams, irregardless of salinity and vegetation.","This widely distributed southern species has extended its range dramatically, to now extend from as far south as Colombia and Venezuela and north into southern Canada. It is only absent from the Pacific Northwest in the United States. It has entered California only in the last 80 years and more recently western Montana, British Columbia, Oregon, New York and southern Ontario. It was accidentally introduced into Oahu in 1936 and now occurs commonly on all of the major Hawaiian Islands. Its success is probably due in part to its ability to colonize temporary and newly created aquatic habitats. Prey of
 this species includes adult sweet potato whiteflies and other small flies and insects. One study included notes about a population observed at Sandpit Lake in Dallas Co., Texas, where ""...hundreds were in copula, ovipositing on small plants just below the surface of the water."" Another study looked at oviposition site selection of Familiar Bluet and found that although aggregations reduced the risk of interference and may even lower predation risk, oviposition efficiency was also reduced. The peak activity is from midmorning into the afternoon. Males spend more days at the water (62%
) than females (39%), but males mate on fewer of these days (14%
) than females (79%
) (Bick and Bick 1963). There is no courtship involved in mating which may last as long as 45 minutes, but usually is over in 20 minutes. Egg laying occurs in tandem, with the male letting go to guard at a nearby perch before becoming completely submerged. Eggs are deposited in algae, roots, leaves and upright stems at the surface of the water. Females usually remain submerged an average of 12 minutes, but lay eggs for more than an hour below the surface, descending backwards. Studied polymorphic head color patterns and found that the majority (73-86%
) of mature adult males lacked a postoccipital bar, while in the majority of females it was present. These females were split in having this postoccipital bar confluent (41-42%
) and non-confluent (50-52%
) with the postoccipital spots. One author found Familiar Bluet males hiding underwater in a laboratory aquarium after the room temperature was accidentally left at cool temperatures overnight. This was apparently an attempt to escape the cold temperature and may suggest how damselflies escape cold weather in nature.",Throughout the U.S. and southern Canada except for Pacific Northwest south through Mexico to Colombia and Venezuela.
Turquoise Bluet,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Enallagma,divagans,"The male's head is blue in front crossed with a black stripe. The top is black with a pair of large, elongated, blue postocular spots that are narrowly separated by the occipital bar. The middorsal stripe and carina of the pterothorax are black and vary from 1/3 to 1/2 the width of the mesepisterna. The antehumeral stripe is blue and no more than half the width of the middorsal stripe. The black humeral stripe is approximately equal in width to the antehumeral stripe and abruptly narrowed posteriorly. The rest of the pterothorax is turquoise-blue becoming cream ventrally. There is an abbreviated stripe on the upper end of the interpleural suture and a dark spot on the metapleural fossa. The legs may be blue or tan with black stripes
 on the femora and tibiae. The tarsi are pale. The abdomen is largely black dorsally and bright blue laterally becoming paler ventrally. Segment 1 is black dorsally with only a pale apical ring. There is a full-length black dorsal stripe on segments 2-7 that expands subapically on each segment and a narrow blue basal ring on segments 3-7. Generally there is a small pale subapical spot present on segment 7. Segments 8-9 are largely blue. Segment 8 has a wide basal triangle dorsally and often along there is an obscure lateral spot on segment 9. The dorsum of segment 10 is largely black. The caudal appendages are black and each is approximately half the length of segment 10. The cerci are white medially with a prominent dorsobasal lobe, when viewed laterally. The paraprocts are widest basally and curve upwards. The female generally paler than the male. The head and thorax differ from the male in the following ways. The postocular spots are larger and the pale antehumeral stripe is general
ly wider. The black humeral stripe is divided longitudinally by brown for its entire length, sometimes completely replacing the black. The middle lobe of the pronotum lacks distinct pits. The hind margin of the posterior prothoracic lobe bears a prominent, pale, median tubercle with long setae. The mesostigmal plates are more or less triangular with a distinct posteromedial tubercle. Abdominal segments 1-7 are as in the male, with the black dorsal stripes only slightly narrower. The black on the dorsum of segment 8 covers at least 2/3 of the basal length. Segment 9 is blue with a basal black spot or stripe that is emarginate medially and extends to half the length of the segment. Segment 10 is entirely blue, with at most, a basal black band.",Total length: 26-36 mm; abdomen: 22-30 mm; hindwing: 17-22 mm.,26-36 mm,22-30 mm,17-22 mm.,"Azure Bluet (E. aspersum
) has blue dorsally on abdominal segment 7. Dorsally, abdominal segment 8 in Stream Bluet (E. exsulans
) is black and Skimming Bluet (E. geminatum
) has a black stripe ventrolaterally on segments 8 and 9. Skimming Bluet also lacks a pale occipital bar.","Shaded sluggish creeks and streams, sloughs or lakes.","This species is restricted to the eastern part of our region. Male and female Turquoise Bluets rarely stray far from water. Their flight is deliberate and slow. One study recorded females submerged for up to 30 minutes while laying eggs. Another, looked at the coexistence of a Tennessee population of Turquoise and Slender Bluet (E. traviatum
) which revealed Turquoise Bluet larvae experienced significantly greater survival and biomass increase than their congener. Fecal pellet analyses showed considerable dietary overlap and little evidence of resource partitioning between the two species.",Eastern U.S.; Florida to Maine west to Oklahoma and Texas.
Stream Bluet,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Enallagma,exsulans,"The face of the male is dark and the top of the head is mostly black with only a narrow strip of blue visible. There are two small tear drop-shaped pale postocular spots narrowly separated or confluent with the pale occipital bar. The hind margin of the posterior pronotal lobe has a blue medial tubercle, bearing setae, and short stripes laterally. The lateral portions of the prothorax are pale blue. The middorsal carina and stripe of the pterothorax are generally black. The former is sometimes tan posteriorly with the latter as much as 2/3 the width of the mesepisterna. The pale blue antehumeral stripe is approximately a third the width of the middorsal stripe. The broad black humeral stripe is equal to or as much as 3 times the width of the antehumeral stripe. The abbreviated black li
ne on the interpleural suture is confluent with the humeral suture. The rest of the thorax, aside from a dark spot on the metapleural fossa, is blue fading ventrally. The wings are clear or with only slight smoky cast. The legs are pale with a sometimes interrupted black stripe on the femora and tibiae and the tarsi are pale and armed with black spurs. The abdomen is blue with a largely black dorsum. Segment 1 is entirely black dorsally except for a pale apical ring. There is a black stripe extending the full-length of segment 2, dorsally. Segments 3-6 each have a full-length black stripe narrowing basally to interrupt a pale blue ring. The apical fifth of this stripe is expanded laterally on each segment. Segment 7 is either as the previous segments or with black extending over entire dorsum. Segment 8 has a full-length black dorsal stripe or sometimes only a basal triangle extending for more than 1/2 the segment. Segment 9 is entirely blue with only a small basal black triangle. Segm
ent 10 is entirely black dorsally and strongly emarginated laterally. Sometimes the emargination envelope pale blue spots laterally. The dark cerci are distinctly forked, when viewed laterally; both lobes directed posteriorly, but the lower lobe noticeably longer than the upper one and approximately half the length of segment 10. The pale paraprocts are slightly shorter than the upper lobe of the cerci and the dark apices are directed posterodorsally. The female is generally more green than blue. The head pattern is like that of the male. The prothorax lacks any distinct pits on the middle lobe and the hind margin of the posterior lobe has a median tubercle bearing numerous setae. The middorsal carina is distinctly tan and bordered by a narrower black middorsal stripe that is generally not quite half as wide as the mesepisterna. The pale antehumeral stripe is 1/2-2/3 the width of the middorsal stripe. The black humeral stripe is generally less than twice the width of the antehumeral st
ripe and nearly always divided longitudinally; sometimes with the brown replacing the black entirely. The metapleural stripe is not confluent with the humeral stripe. The rest of the pterothorax is as in the male. The mesostigmal plates are more or less triangular with a distinct concavity just posterior to each plate. The abdominal pattern is similar to the male, but with segment 8 bearing a narrow pale apical ring. Segment 9 has two confluent basal, black spots or triangles, emarginated with blue medially. Segment 10 may be entirely blue or occasionally a small black dorsal triangle is present.",Total length: 31-37 mm; abdomen: 24-30 mm; hindwing: 17-21 mm,31-37 mm,24-30 mm,17-21 mm,"Dorsally, abdominal segment 8 in Turquoise (E. divagans
) and Skimming (E. geminatum
) Bluet is pale blue, while the posterior portion of segment 7 is blue in Azure Bluet (E. aspersum). Skimming Bluet also lacks a pale occipital bar. Female Mexican Wedgetails (Acanthagrion quadratum
) are similar, but the postocular spots are not contiguous in that species.","Common along shores of slow moving streams, rivers and occasionally lakes.","Stream Bluet is widespread throughout central Texas but is more frequently encountered to the east, where it can be abundant. They are often sparse in the earlier parts of the day but seem to become more numerous in the late afternoon as temperatures start to cool. In a study of the reproductive behavior of an Indiana population, mating lasted an average of 76 minutes but was witnessed to last as long as 2 hours. Females submerge themselves to oviposit, sometimes while still in tandem with males and other times with the male breaking away after contact with the water. Females remain submerged for 15-31 minutes, while the longest recorded time for a male was 9 minutes. Females have been observed probing backwards down stems of Potamogeton in a deliberate and repetitio
us manner, depositing eggs. One author noted capturing a female to whose thorax was attached the last abdominal segments of the male; a true testimony to the secure coupling mechanism of Stream Bluet!","Eastern U.S. from Georgia north to Maine and southern Canada, west to Michigan and south to Texas and Mexico."
Skimming Bluet,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Enallagma,geminatum,"The head and thorax blue and black. The pale postocular spots are large and generally well separated by the absence of an occipital bar. The abdomen is more robust than in other bluets and almost entirely black except for the basal and apical segments. In both sexes, on segment 2 there is a distinctive black diamond-shaped spot dorsally. In the male segments 8-9 are pale blue and in the female there are a pair of large blue basal spots; these are occasionally fused but segment 9 is always black. The middle lobe of the female prothorax bears pair of shallow posterolateral pits.",Total length: 19-29 mm; abdomen: 14-22 mm; hindwing: 12-17 mm.,19-29 mm,14-22 mm,12-17 mm.,"The larger Turquoise Bluet (E. divagans
) lacks the diamond-shaped spot and ventrolateral stripe on abdominal segment 2. Azure Bluet (E. aspersum
) has blue dorsally on segment 7 and Stream Bluet (E. exsulans
) has black dorsally on segment 8. Lilypad Forktail (Ischnura kellicotti
) is also similar, but it has larger postocular spots, segment 2 has a large dorsal basal blue spot and apical band, and segment 9 in females is either blue or red. Female Seepage Dancers (Argia bipunctulata
) may also be mistaken for this species, but abdominal segment 8 is blue dorsally in Skimming Bluet. The more western Neotropical Bluet (E. novahispaniae
) females are similar, but segment 9 has some blue on it.","Prefers open, muddy, heavily vegetated ponds and lakes with fish, and more rarely slow moving streams and swampy, small order streams.","One study found this species exclusively in lakes containing fish and suggested that Skimming Bluet may be restricted to breeding in such situations to avoid predation by abundant dragonfly larvae in fishless lakes. My observations agree with this, as large populations of the Skimming Bluet have been studied in a heavily vegetated southern Oklahoma pond, with ample fish (including bass and Lepomis spp.
) on a regular seasonal basis. Skimming Bluet is most active in the morning, flying out over the water, perching on algae and other vegetation. Mating pairs aggregate on riparian branches and stems. The female lays eggs unaccompanied by the male in algae and floating debris. This species appears to be a poor disperser, with adults generally returning to their home waters. References: McPeek (1989).",Eastern U.S. and southern Canada from Florida to Quebec westward to Minnesota and south to Oklahoma and Texas.
Orange Bluet,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Enallagma,signatum,"The face of the male is orange except for a narrow black stripe across the front. The top is black an orange occipital bar that is nearly confluent with two narrow postocular spots. The middorsal thoracic carina is black and a third as wide as the mesepisterna. The antehumeral stripe is orange and half the width of the middorsal stripe. The humeral stripe is black and subequal in width to the antehumeral stripe. The remainder of the thorax is orange. The legs are orange with the occasional black stripe on the femora and tibiae. The abdomen is orange dorsally and paler laterally. The dorsum of segments 1-2 are nearly all black. Segments 3-8 are black except for a pale basal ring that is generally lacking on 8. Segment 7 has a narrow apical ring. There is a pale
 basal ring on segment 9 and 10 is black dorsally. The cerci are subequal in length to segment 10. The pale paraprocts are half the length of the cerci. Teneral and young males are blue rather than orange. The female is paler in color, generally yellow-green. The head and thorax are similar to the male, but with the pale areas more extensive. The humeral stripe is generally narrower than the yellow antehumeral stripe. The pronotum has distinct pits on the anterior third of the middle lobe. The mesostigmal plates are nearly triangular with a prominent tubercle at the posteromedial corner. The pale colors of the abdomen are yellowish-green. Segments 1-8 are generally like the male. Segment 9 is black dorsally and segment 10 is generally pale.",Total length: 28-37 mm; abdomen: 23-30 mm; hindwing: 15-21 mm.,28-37 mm,23-30 mm,15-21 mm.,"Cherry (E. conciusum
) and Burgundy (E. dubium
) Bluets are both smaller and red not orange. Teneral Vesper Bluets (E. vesperum
) are similar, but the black humeral stripe is either lacking or narrowly reduced in that species. Our threadtail species (Family Protoneuridae
) are orange and are found along side Orange Bluet, but they will have much longer and thinner abdomens (twice as long as the wings).",Various ponds and lakes as well as slow moving streams and rivers,"Found in a variety of habitats, Orange Bluet is unusual in that it is most active in the late afternoon. One study found it never appeared before 2:30 P.M. In this respect, it is similar to Vesper Bluet. Females stay some distance from the water and are often not encountered except in copula or tandem. Females are one of three forms. The first remains blue throughout life, one becomes green and the third becomes orange. Males are often seen hovering low to the water, occasionally perching on water lilies or other emergent vegetation. A study on the reproductive behavior of Orange Bluet found females will posture their unwillingness to mate. After mating, pairs will begin laying eggs in floating vegetation or debris, wi
th the male often accompanying his partner underwater. Females will remain underwater, ovipositing in the traditional manner for up to 20 minutes at a time. References: Dunkle (1990), Lutz and Pittman (1970), Tennessen (1975).","Eastern U.S. from Florida to Quebec, westward to South Dakota and south to Texas."
